0;Labels
Wendy's;"['Category:1969 establishments in Ohio', 'Category:All Wikipedia articles in need of updating', 'Category:All articles with failed verification', 'Category:All articles with unsourced statements', 'Category:Articles with failed verification from November 2018', 'Category:Articles with short description', 'Category:Articles with unsourced statements from April 2018', 'Category:CS1 Greek-language sources (el)', 'Category:Commons category link is on Wikidata', 'Category:Companies based in the Columbus, Ohio metropolitan area', 'Category:Defunct restaurant chains in Israel', 'Category:Fast-food chains of the United States', 'Category:Fast-food franchises', 'Category:Fast-food hamburger restaurants', 'Category:Multinational food companies', 'Category:Portal templates with redlinked portals', 'Category:Restaurant chains in the United States', 'Category:Restaurants established in 1969', 'Category:Restaurants in Ohio', 'Category:Use mdy dates from January 2017', 'Category:Webarchive template wayback links', ""Category:Wendy's International"", 'Category:Wikipedia articles in need of updating from July 2013', 'Category:Wikipedia articles in need of updating from October 2017', 'Category:Wikipedia indefinitely semi-protected pages']"
West African cuisine;['Category:African cuisine', 'Category:Burkinabé cuisine', 'Category:Gambian cuisine', 'Category:Ghanaian cuisine', 'Category:Guinean cuisine', 'Category:Ivorian cuisine', 'Category:Liberian cuisine', 'Category:Malian cuisine', 'Category:Nigerian cuisine', 'Category:Nigerien cuisine', 'Category:Senegalese cuisine', 'Category:Sierra Leonean cuisine', 'Category:Togolese cuisine']
Westin Peachtree Plaza Hotel;['Category:1976 establishments in Georgia (U.S. state)', 'Category:All articles containing potentially dated statements', 'Category:Articles containing potentially dated statements from 2009', 'Category:Buildings and structures with revolving restaurants', 'Category:CS1 maint: Archived copy as title', 'Category:Commons category link is on Wikidata', 'Category:Coordinates on Wikidata', 'Category:Emporis template using building ID', 'Category:Hotel buildings completed in 1976', 'Category:Hotels established in 1976', 'Category:Infobox mapframe without OSM relation ID on Wikidata', 'Category:John C. Portman Jr. buildings', 'Category:Pages using the Kartographer extension', 'Category:Skyscraper hotels in Atlanta', 'Category:Structurae ID not in Wikidata', 'Category:Westin hotels']
Wheat beer;['Category:All articles with unsourced statements', 'Category:Articles with inconsistent citation formats', 'Category:Articles with unsourced statements from May 2015', 'Category:Beer styles', 'Category:CS1 German-language sources (de)', 'Category:Use dmy dates from September 2010', 'Category:Webarchive template wayback links', 'Category:Wheat-based drinks', 'Category:Wikipedia articles with GND identifiers']
Wheat gluten (food);['Category:All articles needing additional references', 'Category:Articles containing Chinese-language text', 'Category:Articles containing Japanese-language text', 'Category:Articles needing additional references from November 2011', 'Category:Buddhist vegetarianism', 'Category:Chinese cuisine', 'Category:Chinese inventions', 'Category:Gluten', 'Category:Japanese cuisine', 'Category:Meat substitutes', 'Category:Vegan cuisine', 'Category:Vegetarian cuisine', 'Category:Vegetarian dishes of China', 'Category:Vietnamese cuisine', 'Category:Wheat', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with NDL identifiers']
Wheat tortilla;['Category:All articles needing additional references', 'Category:All articles that may contain original research', 'Category:All articles with unsourced statements', 'Category:American cuisine', 'Category:Appetizers', 'Category:Articles needing additional references from April 2014', 'Category:Articles needing additional references from December 2012', 'Category:Articles that may contain original research from May 2013', 'Category:Articles with Spanish-language external links', 'Category:Articles with unsourced statements from April 2011', 'Category:Articles with unsourced statements from February 2011', 'Category:Articles with unsourced statements from January 2019', 'Category:Articles with unsourced statements from May 2013', 'Category:Commons category link is locally defined', 'Category:Flatbreads', 'Category:Mexican cuisine', 'Category:Pages containing links to subscription-only content', 'Category:Pages using citations with accessdate and no URL', 'Category:Pages using deprecated image syntax', 'Category:Staple foods', 'Category:Tortilla', 'Category:Wheat dishes']
Whipped cream;['Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from March 2019', 'Category:CS1 maint: Archived copy as title', 'Category:Dairy products', 'Category:Desserts', 'Category:Webarchive template wayback links']
Whisky;['Category:All articles with unsourced statements', 'Category:Articles containing Irish-language text', 'Category:Articles containing Scottish Gaelic-language text', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Articles with unsourced statements from November 2018', 'Category:CS1 Russian-language sources (ru)', 'Category:Commons category link from Wikidata', 'Category:Pages containing links to subscription-only content', 'Category:Pages with citations using unnamed parameters', 'Category:Portal templates with redlinked portals', 'Category:Use dmy dates from November 2010', 'Category:Webarchive template wayback links', 'Category:Whisky', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with LCCN identifiers']
Whisky with food;['Category:All articles needing additional references', 'Category:All articles that may contain original research', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from March 2012', 'Category:Articles that may contain original research from March 2012', 'Category:Articles with multiple maintenance issues', 'Category:Articles with unsourced statements from January 2013', 'Category:Commons category link is on Wikidata', 'Category:Pages using web citations with no URL', 'Category:Scottish cuisine', 'Category:Whisky']
Whitbread;['Category:1742 establishments in Great Britain', 'Category:British brands', 'Category:Catering and food service companies of the United Kingdom', 'Category:Companies based in Bedfordshire', 'Category:Companies established in 1742', 'Category:Companies listed on the London Stock Exchange', 'Category:Defunct breweries of the United Kingdom', 'Category:Hotel and leisure companies of the United Kingdom', 'Category:Restaurant groups in the United Kingdom', 'Category:Use British English from January 2012', 'Category:Use dmy dates from January 2012', 'Category:Webarchive template wayback links', 'Category:Whitbread']
White Castle (restaurant);['Category:1921 establishments in Kansas', 'Category:Articles with short description', 'Category:Companies based in Wichita, Kansas', 'Category:Companies based in the Columbus, Ohio metropolitan area', 'Category:Cuisine of the Midwestern United States', 'Category:Economy of the Midwestern United States', 'Category:Fast-food chains of the United States', 'Category:Fast-food franchises', 'Category:Fast-food hamburger restaurants', 'Category:Pages using deprecated image syntax', 'Category:Portal templates with redlinked portals', 'Category:Regional restaurant chains in the United States', 'Category:Restaurants established in 1921', 'Category:Restaurants in Ohio', 'Category:Use mdy dates from March 2018', 'Category:White Castle (restaurant)']
White Horse Inn (Oakland, California);['Category:1933 establishments in California', 'Category:20th century in Oakland, California', 'Category:21st century in Oakland, California', 'Category:Buildings and structures in Oakland, California', 'Category:Coordinates not on Wikidata', 'Category:Culture of Oakland, California', 'Category:LGBT culture in the San Francisco Bay Area', 'Category:LGBT drinking establishments in California', 'Category:LGBT nightclubs in California', 'Category:Restaurants established in 1933']
White House Executive Chef;['Category:CS1: Julian–Gregorian uncertainty', 'Category:White House Executive Chefs', 'Category:White House Executive Residence Operations', 'Category:White House Office']
White Rabbit (candy);['Category:2008 Chinese milk scandal', 'Category:All articles with unsourced statements', 'Category:Articles containing Chinese-language text', 'Category:Articles containing traditional Chinese-language text', 'Category:Articles with unsourced statements from June 2009', 'Category:Articles with unsourced statements from October 2008', 'Category:Brand name confectionery', 'Category:Chinese brands', 'Category:Chinese desserts', 'Category:Products introduced in 1943']
White Spot;['Category:1928 establishments in British Columbia', 'Category:Canadian brands', 'Category:Companies based in Vancouver', 'Category:Drive-in restaurants', 'Category:Fast-food chains of Canada', 'Category:Hot dog restaurants', 'Category:Regional restaurant chains in Canada', 'Category:Restaurants established in 1928', 'Category:Restaurants in Vancouver']
White Zinfandel;['Category:All articles with a promotional tone', 'Category:Articles with a promotional tone from June 2019', 'Category:Rosé wines']
White sturgeon;"['Category:Acipenser', ""Category:Articles with 'species' microformats"", 'Category:CS1 maint: Multiple names: authors list', 'Category:Commercial fish', 'Category:Commons category link is on Wikidata', 'Category:ESA endangered species', 'Category:Fish described in 1836', 'Category:Fish of North America', 'Category:IUCN Red List least concern species', 'Category:Portal templates with all redlinked portals']"
Whiteleg shrimp;"[""Category:Articles with 'species' microformats"", 'Category:Articles with short description', 'Category:Commercial crustaceans', 'Category:Commons category link from Wikidata', 'Category:Crustaceans described in 1931', 'Category:Crustaceans of the eastern Pacific Ocean', 'Category:Edible crustaceans', 'Category:Penaeidae', 'Category:Seafood red list']"
Why We Love Dogs, Eat Pigs, and Wear Cows;['Category:2010 non-fiction books', 'Category:Books about animal rights', 'Category:Books about food and drink', 'Category:Portal templates with redlinked portals', 'Category:Vegetarian-related media', 'Category:Vegetarianism in the United States']
Wiener schnitzel;['Category:Articles containing German-language text', 'Category:Articles containing Italian-language text', 'Category:Articles containing Latin-language text', 'Category:Articles with German-language external links', 'Category:Austrian cuisine', 'Category:Breaded cutlets', 'Category:CS1 German-language sources (de)', 'Category:Commons category link is on Wikidata', 'Category:Culinary dishes', 'Category:German cuisine', 'Category:National dishes', 'Category:Veal dishes']
Wienerschnitzel;['Category:1961 establishments in California', 'Category:All articles needing additional references', 'Category:All articles with dead external links', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from July 2013', 'Category:Articles with dead external links from February 2018', 'Category:Articles with unsourced statements from May 2016', 'Category:Companies based in Newport Beach, California', 'Category:Economy of the Southwestern United States', 'Category:Fast-food chains of the United States', 'Category:Fast-food hamburger restaurants', 'Category:Hot dog restaurants', 'Category:Regional restaurant chains in the United States', 'Category:Restaurants established in 1961', 'Category:Restaurants in Orange County, California', 'Category:Use mdy dates from February 2018']
Wilbur Chocolate Company;['Category:1865 establishments in Pennsylvania', 'Category:Buildings and structures in Lancaster County, Pennsylvania', 'Category:Cargill', 'Category:Chocolate companies based in Pennsylvania', 'Category:Chocolate museums in the United States', 'Category:Companies based in Lancaster County, Pennsylvania', 'Category:Culture of Lancaster, Pennsylvania', 'Category:Food and drink companies established in 1865', 'Category:Food museums in the United States', 'Category:Lititz, Pennsylvania', 'Category:Museums in Lancaster County, Pennsylvania', 'Category:Shops in the United States', 'Category:Tourist attractions in Lancaster County, Pennsylvania']
William Davies Company;['Category:CS1: long volume value', 'Category:Commons category link is on Wikidata', 'Category:Companies based in Toronto', 'Category:Defunct retail companies of Canada', 'Category:History of Toronto', 'Category:Meat companies of Canada', 'Category:Use mdy dates from July 2016']
Williams pear;"['Category:Aldermaston', 'Category:All articles with specifically marked weasel-worded phrases', 'Category:All articles with unsourced statements', ""Category:Articles with 'species' microformats"", 'Category:Articles with specifically marked weasel-worded phrases from January 2011', 'Category:Articles with unsourced statements from May 2017', 'Category:EngvarB from October 2013', 'Category:Pear cultivars', 'Category:Use dmy dates from October 2013']"
Willow Tearooms;['Category:1903 establishments in Scotland', 'Category:Art Nouveau architecture in Glasgow', 'Category:Art Nouveau restaurants', 'Category:Buildings and structures completed in 1903', 'Category:Buildings and structures in Glasgow', 'Category:Category A listed buildings in Glasgow', 'Category:Charles Rennie Mackintosh buildings', 'Category:Commons category link is on Wikidata', 'Category:Coordinates on Wikidata', 'Category:Culture in Glasgow', 'Category:Infobox mapframe without OSM relation ID on Wikidata', 'Category:Pages using the Kartographer extension', 'Category:Tea houses of the United Kingdom', 'Category:Tourist attractions in Glasgow', 'Category:Use British English from January 2017', 'Category:Use dmy dates from January 2017']
WinCo Foods;['Category:1967 establishments in Idaho', 'Category:Commons category link is locally defined', 'Category:Companies based in Boise, Idaho', 'Category:Discount stores of the United States', 'Category:Employee-owned companies of the United States', 'Category:Privately held companies based in Idaho', 'Category:Retail companies established in 1967', 'Category:Supermarkets of the United States', 'Category:Superstores in the United States']
Windows on the World;['Category:1976 establishments in New York (state)', 'Category:2001 disestablishments in New York (state)', 'Category:Commons category link from Wikidata', 'Category:Defunct restaurants in New York City', 'Category:Defunct tourist attractions in the United States', 'Category:Pages using New York City Subway service templates', 'Category:Restaurants disestablished in 2001', 'Category:Restaurants established in 1976', 'Category:September 11 attacks', 'Category:Tourism in New York City', 'Category:Webarchive template wayback links', 'Category:World Trade Center']
Wine and food matching;['Category:All articles lacking reliable references', 'Category:Articles lacking reliable references from December 2010', 'Category:Food and drink appreciation', 'Category:Wine']
Wine bottle;['Category:Alcohol measurement', 'Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from April 2014', 'Category:Articles needing additional references from June 2017', 'Category:Articles needing additional references from November 2010', 'Category:Articles with unsourced statements from February 2013', 'Category:Articles with unsourced statements from June 2017', 'Category:Articles with unsourced statements from May 2016', 'Category:Commons category link is on Wikidata', 'Category:Glass bottles', 'Category:Use dmy dates from February 2013', 'Category:Wikipedia articles with GND identifiers', 'Category:Wine packaging and storage']
Wine cellar;['Category:Articles with short description', 'Category:Commons category link is on Wikidata', 'Category:Rooms', 'Category:Wine packaging and storage']
Wine from the United Kingdom;['Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:All pages needing cleanup', 'Category:Articles needing additional references from August 2010', 'Category:Articles needing additional references from December 2015', 'Category:Articles needing additional references from November 2018', 'Category:Articles needing cleanup from October 2011', 'Category:Articles with multiple maintenance issues', 'Category:Articles with unsourced statements from August 2018', 'Category:Articles with unsourced statements from December 2011', 'Category:Articles with unsourced statements from January 2012', 'Category:Articles with unsourced statements from January 2017', 'Category:British wine', 'Category:Cleanup tagged articles without a reason field from October 2011', 'Category:English wine', 'Category:Use British English from October 2012', 'Category:Use dmy dates from October 2012', 'Category:Wikipedia pages needing cleanup from October 2011']
Winemaking;['Category:Articles prone to spam from October 2012', 'Category:Articles with Curlie links', 'Category:CS1 maint: others', 'Category:Commons category link is on Wikidata', 'Category:Fermentation in food processing', 'Category:Portal templates with redlinked portals', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Winemaking']
Winged bean;"[""Category:Articles with 'species' microformats"", 'Category:CS1 maint: Multiple names: authors list', 'Category:Commons category link is on Wikidata', 'Category:Crops originating from Asia', 'Category:Edible legumes', 'Category:Leaf vegetables', 'Category:Nitrogen-fixing crops', 'Category:Phaseoleae', 'Category:Pod vegetables', 'Category:Root vegetables', 'Category:Taxonbars with automatically added basionyms', 'Category:Tropical agriculture', 'Category:Use British English from December 2016']"
Winston L. Shelton;['Category:1922 births', 'Category:2019 deaths', 'Category:20th-century American businesspeople', 'Category:20th-century American engineers', 'Category:American electrical engineers', 'Category:American inventors', 'Category:Articles with hCards', 'Category:Businesspeople from Louisville, Kentucky', 'Category:Businesspeople from West Virginia', 'Category:Military personnel from West Virginia', 'Category:People from Clay, West Virginia', 'Category:People from Nicholas County, West Virginia', 'Category:Use mdy dates from January 2016']
Wispa;['Category:All articles needing additional references', 'Category:All articles with unsourced statements', 'Category:All articles with vague or ambiguous time', 'Category:Articles needing additional references from March 2019', 'Category:Articles with unsourced statements from February 2019', 'Category:Articles with unsourced statements from March 2019', 'Category:Brand name chocolate', 'Category:British confectionery', 'Category:Cadbury brands', 'Category:Chocolate bars', 'Category:Mondelēz brands', 'Category:Official website not in Wikidata', 'Category:Pages using deprecated image syntax', 'Category:Products introduced in 1981', 'Category:Use British English from February 2012', 'Category:Use dmy dates from February 2012', 'Category:Vague or ambiguous time from February 2019', 'Category:Webarchive template wayback links']
Wolfgang's Steakhouse;['Category:Coordinates not on Wikidata', 'Category:German restaurants', 'Category:German-American cuisine', 'Category:German-American culture in New York City', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Restaurants established in 2004', 'Category:Restaurants in New York City', 'Category:Steakhouses in the United States']
Woolworths Supermarkets;['Category:1924 establishments in Australia', 'Category:All Wikipedia articles written in Australian English', 'Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from January 2018', 'Category:Australian grocers', 'Category:CS1 errors: dates', 'Category:Commons category link is on Wikidata', 'Category:Commons category link is on Wikidata using P373', 'Category:Food and drink companies established in 1924', 'Category:Retail companies established in 1924', 'Category:Supermarkets of Australia', 'Category:Use Australian English from January 2014', 'Category:Use dmy dates from June 2011', 'Category:Woolworths Limited']
Worcestershire sauce;['Category:1837 introductions', 'Category:Anchovy dishes', 'Category:Articles containing Japanese-language text', 'Category:Articles containing simplified Chinese-language text', 'Category:Articles containing traditional Chinese-language text', 'Category:Articles with hAudio microformats', 'Category:British condiments', 'Category:CS1 Chinese-language sources (zh)', 'Category:CS1 Danish-language sources (da)', 'Category:Commons category link from Wikidata', 'Category:Culture in Worcester', 'Category:Culture in Worcestershire', 'Category:Fermented foods', 'Category:Fish sauces', 'Category:Food brands of the United Kingdom', 'Category:History of Worcester', 'Category:Pages including recorded pronunciations (English)', 'Category:Pages using multiple image with auto scaled images', 'Category:Portal templates with redlinked portals', 'Category:Sauces', 'Category:Steak sauces', 'Category:Umami enhancers', 'Category:Use British English from August 2016', 'Category:Use British English from October 2010', 'Category:Use dmy dates from August 2016', 'Category:Use dmy dates from October 2010']
World Famous Kenton Club;['Category:1947 establishments in Oregon', 'Category:Commons category link is on Wikidata', 'Category:Coordinates not on Wikidata', 'Category:Drinking establishments in Oregon', 'Category:Kenton, Portland, Oregon', 'Category:Music venues in Portland, Oregon', 'Category:Official website not in Wikidata']
World Food Programme;['Category:Agriculture in society', 'Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from November 2013', 'Category:Commons category link is on Wikidata', 'Category:Executive Directors of the World Food Programme', 'Category:Government agencies established in 1961', 'Category:Government agencies established in 1963', 'Category:Hunger relief organizations', 'Category:International medical and health organizations', 'Category:Italy and the United Nations', 'Category:Malnutrition organizations', 'Category:Organisations based in Rome', 'Category:United Nations Development Group', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with BNF identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with NKC identifiers', 'Category:Wikipedia articles with NLA identifiers', 'Category:Wikipedia articles with SELIBR identifiers', 'Category:Wikipedia articles with SUDOC identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers', 'Category:World Food Programme']
Wotou;['Category:Articles containing Chinese-language text', 'Category:Beijing cuisine', 'Category:Breads', 'Category:Buns', 'Category:CS1 maint: others', 'Category:CS1: long volume value', 'Category:Chinese breads', 'Category:Chinese cuisine', 'Category:Maize dishes', 'Category:Steamed foods']
Wrap (food);['Category:American cuisine', 'Category:American sandwiches', 'Category:Fast food', 'Category:Flatbread dishes', 'Category:Pages using multiple image with auto scaled images', 'Category:Sandwiches', 'Category:Stuffed dishes', 'Category:Tortilla-based dishes', 'Category:Use dmy dates from February 2011']
XanGo;['Category:2002 establishments in Utah', 'Category:All articles lacking reliable references', 'Category:All articles with a promotional tone', 'Category:All articles with unsourced statements', 'Category:Articles lacking reliable references from August 2018', 'Category:Articles with a promotional tone from August 2018', 'Category:Articles with unsourced statements from July 2017', 'Category:Articles with unsourced statements from May 2013', 'Category:CS1 Italian-language sources (it)', 'Category:Companies based in Utah County, Utah', 'Category:Companies established in 2002', 'Category:Multi-level marketing companies based in Utah', 'Category:Privately held companies based in Utah', 'Category:Pseudoscience', 'Category:Webarchive template wayback links']
Xanthan gum;['Category:All articles with unsourced statements', 'Category:Articles containing unverified chemical infoboxes', 'Category:Articles with unsourced statements from April 2017', 'Category:Articles without EBI source', 'Category:Articles without InChI source', 'Category:Articles without KEGG source', 'Category:Articles without UNII source', 'Category:Chembox having DSD data', 'Category:Chembox image size set', 'Category:Chemicals that do not have a ChemSpider ID assigned', 'Category:Chemicals without a PubChem CID', 'Category:E number from Wikidata', 'Category:E-number additives', 'Category:ECHA InfoCard ID from Wikidata', 'Category:Edible thickening agents', 'Category:Food additives', 'Category:Natural gums', 'Category:Polysaccharides']
Xanthosoma;"['Category:Araceae genera', ""Category:Articles with 'species' microformats"", 'Category:CS1: long volume value', 'Category:Commons category link from Wikidata', 'Category:Leaf vegetables', 'Category:Root vegetables', 'Category:Staple foods', 'Category:Xanthosoma']"
Xylitol;['Category:All articles with unsourced statements', 'Category:Articles containing Ancient Greek-language text', 'Category:Articles containing unverified chemical infoboxes', 'Category:Articles with unsourced statements from January 2015', 'Category:Articles without KEGG source', 'Category:Chembox image size set', 'Category:Chemical pages without ChemSpiderID', 'Category:Commons category link from Wikidata', 'Category:E number from Wikidata', 'Category:E-number additives', 'Category:ECHA InfoCard ID from Wikidata', 'Category:Excipients', 'Category:Sugar alcohols', 'Category:Sugar substitutes', 'Category:Veterinary toxicology', 'Category:Wikipedia articles with NDL identifiers']
YO! Sushi;['Category:Commons category link is on Wikidata', 'Category:Restaurant groups in the United Kingdom', 'Category:Restaurants established in 1997', 'Category:Restaurants in London', 'Category:Sushi restaurants in the United Kingdom', 'Category:Use dmy dates from July 2018', 'Category:Webarchive template wayback links']
Yacón;"['Category:All articles with unsourced statements', ""Category:Articles with 'species' microformats"", 'Category:Articles with unsourced statements from January 2014', 'Category:CS1 maint: Multiple names: authors list', 'Category:Crops originating from Peru', 'Category:Flora of the Andes', 'Category:Flora of western South America', 'Category:Millerieae', 'Category:Perennial vegetables', 'Category:Prebiotics (nutrition)', 'Category:Root vegetables', 'Category:Taxa named by Eduard Friedrich Poeppig', 'Category:Taxonbars with automatically added basionyms']"
Yaka mein;['Category:All articles that may contain original research', 'Category:All articles with self-published sources', 'Category:American Chinese cuisine', 'Category:Articles that may contain original research from February 2013', 'Category:Articles with self-published sources from February 2013', 'Category:Asian-American culture in Louisiana', 'Category:CS1 German-language sources (de)', 'Category:Chinese-American history', 'Category:Commons category link from Wikidata', 'Category:Culinary dishes', 'Category:Louisiana Creole cuisine', 'Category:Louisiana cuisine', 'Category:Noodle soups']
Yakisoba;['Category:All articles needing additional references', 'Category:All articles that may contain original research', 'Category:Articles containing Japanese-language text', 'Category:Articles needing additional references from November 2012', 'Category:Articles that may contain original research from November 2012', 'Category:Articles with short description', 'Category:Commons category link is on Wikidata', 'Category:Fried noodles', 'Category:Japanese noodle dishes']
Yakult;['Category:Articles containing Japanese-language text', 'Category:Articles with hProducts', 'Category:Articles with hRecipes', 'Category:Commons category link from Wikidata', 'Category:Fermented dairy products', 'Category:Japanese brands', 'Category:Japanese drinks', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Wikipedia articles with CINII identifiers', 'Category:Wikipedia articles with GND identifiers', 'Category:Wikipedia articles with ISNI identifiers', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia articles with VIAF identifiers', 'Category:Wikipedia articles with WorldCat-VIAF identifiers']
Yale Club of New York City;"['Category:1897 establishments in New York (state)', 'Category:Clubhouses in Manhattan', 'Category:Clubs and societies in Manhattan', 'Category:Commons category link is on Wikidata', 'Category:Coordinates not on Wikidata', 'Category:Culture of New York City', ""Category:Gentlemen's clubs in New York City"", 'Category:Landmarks in Manhattan', 'Category:Midtown Manhattan', 'Category:Official website not in Wikidata', 'Category:Organizations established in 1897', 'Category:Sports venues completed in 1915', 'Category:Squash venues in the United States', 'Category:Wikipedia articles with LCCN identifiers', 'Category:Wikipedia articles with WorldCat-LCCN identifiers', 'Category:Yale University']"
Yam (vegetable);['Category:All articles needing additional references', 'Category:All articles to be expanded', 'Category:All articles with unsourced statements', 'Category:Articles needing additional references from December 2017', 'Category:Articles needing additional references from June 2017', 'Category:Articles to be expanded from April 2019', 'Category:Articles using small message boxes', 'Category:Articles with unsourced statements from December 2017', 'Category:Articles with unsourced statements from January 2015', 'Category:Articles with unsourced statements from June 2017', 'Category:Crops', 'Category:Crops originating from Africa', 'Category:Dioscorea', 'Category:Flora of Jamaica', 'Category:Igbo cuisine', 'Category:Root vegetables', 'Category:Staple foods', 'Category:Tropical agriculture', 'Category:Tubers', 'Category:Yams (vegetable)', 'Category:Yoruba cuisine']
Yankee Doodle Coffee Shop;['Category:1950 establishments in Connecticut', 'Category:All articles with dead external links', 'Category:Articles with dead external links from April 2010', 'Category:Buildings and structures in New Haven, Connecticut', 'Category:Competitive eating', 'Category:Coordinates on Wikidata', 'Category:Economy of New Haven, Connecticut', 'Category:Restaurants established in 1950', 'Category:Restaurants in Connecticut', 'Category:Use mdy dates from February 2012', 'Category:Webarchive template wayback links']
Yard of ale;['Category:Alcohol measurement', 'Category:All articles with unsourced statements', 'Category:Articles with unsourced statements from December 2014', 'Category:Beer glassware', 'Category:Drinking glasses', 'Category:Drinkware', 'Category:Wikipedia indefinitely semi-protected pages']
Yardbird Southern Table & Bar;['Category:2011 establishments in Florida', 'Category:Commons category link from Wikidata', 'Category:Official website different in Wikidata and Wikipedia', 'Category:Pages using infobox restaurant with unsupported parameters', 'Category:Restaurants in Las Vegas, Nevada', 'Category:Restaurants in Los Angeles', 'Category:Restaurants in Miami', 'Category:Restaurants in Singapore']
Yatai (food cart);['Category:Articles containing Japanese-language text', 'Category:CS1 Japanese-language sources (ja)', 'Category:Commons category link is on Wikidata', 'Category:Food retailers of Japan', 'Category:Fukuoka', 'Category:Pages containing links to subscription-only content', 'Category:Street food', 'Category:Subscription required using via']
Yeast;"['Category:All Wikipedia articles needing clarification', 'Category:All articles needing additional references', 'Category:All articles with a promotional tone', 'Category:All articles with unsourced statements', 'Category:Articles containing Russian-language text', 'Category:Articles containing Spanish-language text', 'Category:Articles needing additional references from April 2013', ""Category:Articles with 'species' microformats"", 'Category:Articles with a promotional tone from October 2016', 'Category:Articles with unsourced statements from October 2016', 'Category:Brewing ingredients', 'Category:CS1 Dutch-language sources (nl)', 'Category:CS1 German-language sources (de)', 'Category:CS1 maint: Extra text: editors list', 'Category:Commons category link from Wikidata', 'Category:Fermentation in food processing', 'Category:Food additives', 'Category:Leavening agents', 'Category:Medicinal fungi', 'Category:Pages containing links to subscription-only content', 'Category:Use dmy dates from May 2018', 'Category:Wikipedia articles needing clarification from March 2018', 'Category:Wikipedia articles with NDL identifiers', 'Category:Wikipedia indefinitely semi-protected pages', 'Category:Yeasts']"
Yeast Metabolome Database;['Category:Biological databases', 'Category:Food databases', 'Category:Medical databases', 'Category:Metabolomic databases']
Yeast flocculation;['Category:All articles with unsourced statements', 'Category:All pages needing cleanup', 'Category:Articles needing cleanup from April 2009', 'Category:Articles with unsourced statements from August 2010', 'Category:Brewing', 'Category:Cleanup tagged articles without a reason field from April 2009', 'Category:Wikipedia pages needing cleanup from April 2009']
Yellowfin tuna;"['Category:All articles with unsourced statements', ""Category:Articles with 'species' microformats"", 'Category:Articles with unsourced statements from September 2012', 'Category:CS1 maint: Multiple names: authors list', 'Category:Commercial fish', 'Category:Fish described in 1788', 'Category:Fish of Hawaii', 'Category:Fish of Thailand', 'Category:Fish of the Atlantic Ocean', 'Category:Hawaiian cuisine', 'Category:IUCN Red List near threatened species', 'Category:Seafood red list', 'Category:Sport fish', 'Category:Taxa named by Pierre Joseph Bonnaterre', 'Category:Thunnus', 'Category:Webarchive template wayback links', 'Category:Wikipedia articles with NDL identifiers']"
Yogen Früz;['Category:1986 establishments in Ontario', 'Category:All articles needing additional references', 'Category:All articles with dead external links', 'Category:Articles needing additional references from January 2014', 'Category:Articles with dead external links from July 2016', 'Category:Articles with permanently dead external links', 'Category:CS1 maint: Archived copy as title', 'Category:Canadian brands', 'Category:Canadian companies established in 1986', 'Category:Commons category link from Wikidata', 'Category:Companies based in Markham, Ontario', 'Category:Fast-food chains of Canada', 'Category:Fast-food chains of China', 'Category:Fast-food chains of Saudi Arabia', 'Category:Fast-food chains of Singapore', 'Category:Fast-food chains of the United Kingdom', 'Category:Fast-food chains of the United States', 'Category:Fast-food franchises', 'Category:Frozen yogurt businesses', 'Category:Ice cream parlors', 'Category:Pages using deprecated image syntax', 'Category:Restaurants established in 1986']
Yolk;['Category:All articles with unsourced statements', 'Category:Articles with incomplete citations from July 2013', 'Category:Articles with unsourced statements from June 2015', 'Category:Eggs']
Yop;['Category:All articles with dead external links', 'Category:Articles with dead external links from July 2016', 'Category:Articles with permanently dead external links', 'Category:Articles with short description', 'Category:Brand name yogurts', 'Category:Drink brands']
York Imperial;"['Category:Apple cultivars', ""Category:Articles with 'species' microformats"", 'Category:Commons category link from Wikidata', 'Category:Commons category link is locally defined']"
